City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabedelo,-6.9811,-34.8339,84.87,71,56,13.2,BR,2022-04-02 19:14:33
1,Bambous Virieux,-20.3428,57.7575,75.22,84,100,18.37,MU,2022-04-02 19:14:33
2,Ushuaia,-54.8,-68.3,40.66,93,100,4.61,AR,2022-04-02 19:14:34
3,Mayor Pablo Lagerenza,-19.9309,-60.7718,85.87,35,17,6.55,PY,2022-04-02 19:14:34
4,Nishihara,26.1842,127.7558,63.68,78,100,8.05,JP,2022-04-02 19:14:34
5,Lebu,-37.6167,-73.65,59.05,96,100,8.68,CL,2022-04-02 19:14:35
6,Road Town,18.4167,-64.6167,80.64,65,75,10.36,VG,2022-04-02 19:14:35
7,Jamestown,42.097,-79.2353,48.52,38,0,5.01,US,2022-04-02 19:14:35
8,Punta Arenas,-53.15,-70.9167,42.91,87,75,9.22,CL,2022-04-02 19:14:36
9,Cape Town,-33.9258,18.4232,66.11,72,0,4.0,ZA,2022-04-02 19:14:11
10,Barrow,71.2906,-156.7887,-9.38,77,0,13.8,US,2022-04-02 19:14:36
11,Ostrovnoy,68.0531,39.5131,16.86,89,84,15.23,RU,2022-04-02 19:14:37
12,Abay,49.6311,72.8539,30.58,90,20,5.1,KZ,2022-04-02 19:14:37
13,Rikitea,-23.1203,-134.9692,74.14,56,28,6.67,PF,2022-04-02 19:14:38
14,Najran,17.4924,44.1277,69.19,16,0,3.83,SA,2022-04-02 19:14:38
15,Bonthe,7.5264,-12.505,76.46,89,100,13.22,SL,2022-04-02 19:14:38
16,Albany,42.6001,-73.9662,50.04,39,22,1.01,US,2022-04-02 19:13:52
17,Ales,44.1333,4.0833,40.28,49,100,11.32,FR,2022-04-02 19:14:39
18,Port Alfred,-33.5906,26.891,64.18,88,100,1.99,ZA,2022-04-02 19:14:39
19,Saint-Philippe,-21.3585,55.7679,74.79,97,100,21.5,RE,2022-04-02 19:14:40
20,Leningradskiy,69.3833,178.4167,-8.66,98,100,9.22,RU,2022-04-02 19:14:40
21,Laem Sing,12.4816,102.0738,68.22,81,100,14.07,TH,2022-04-02 19:14:40
22,Thompson,55.7435,-97.8558,25.38,77,100,5.75,CA,2022-04-02 19:14:41
23,Saint Anthony,45.0205,-93.218,52.3,49,20,17.27,US,2022-04-02 19:14:41
24,Goderich,43.7501,-81.7165,35.91,62,100,5.41,CA,2022-04-02 19:14:41
25,San Ignacio,17.1561,-89.0714,95.14,49,40,6.91,BZ,2022-04-02 19:14:42
26,Hermanus,-34.4187,19.2345,61.81,77,96,16.89,ZA,2022-04-02 19:14:42
27,Mataura,-46.1927,168.8643,47.61,94,72,3.27,NZ,2022-04-02 19:14:42
28,Vestmannaeyjar,63.4427,-20.2734,45.07,96,100,22.26,IS,2022-04-02 19:14:43
29,Avarua,-21.2078,-159.775,80.65,83,96,3.44,CK,2022-04-02 19:14:43
